1037	2019년 11월 28일	별표 5개 만점에 5개를 받았습니다.	ㅋㆍㅋ 진짜 편 함	1
287	2020년 6월 2일	별표 5개 만점에 2개를 받았습니다.	위젯이 날아갑니다 콘센트랑 각종 유플러스 iot위젯에 이쁘게 해놓으면 연결상태가 양호하지 않다며 다른 의젯이 몽땅 날아갑니다 빈번하게요 연결 상태는 코앞에있는 콘센트한테는 문제없을거라 보는데 공유기 초기화등 별짓 다해봣네여	0
1854	2016년 10월 1일	별표 5개 만점에 5개를 받았습니다.	매우최고	1
1383	2019년 3월 15일	별표 5개 만점에 1개를 받았습니다.	느리고 끊기고	0
1021	2020년 2월 20일	별표 5개 만점에 5개를 받았습니다.	사용하기 좋아요	1
706	2018년 12월 27일	별표 5개 만점에 3개를 받았습니다.	먼저찍힌화면이자동삭제가안되서 다른앱을깔지못함	0
794	2018년 11월 24일	별표 5개 만점에 1개를 받았습니다.	집 밖에서는 볼수가 없어요	0
1188	2020년 3월 9일	별표 5개 만점에 5개를 받았습니다.	Good	1
1793	2017년 4월 4일	별표 5개 만점에 1개를 받았습니다.	정신아차리면 호갱됀다	0
1721	2017년 5월 18일	별표 5개 만점에 1개를 받았습니다.	lot가입설명해서 필요없다고 했는데 왜 가입시켰는지 모르겠습니다. u+고객센터에 해지하려해도 잘모르겠고 한참을 찾아보다 이고에 댓글답니다. 해지 부탁드립니다.	0
833	2020년 2월 16일	별표 5개 만점에 3개를 받았습니다.	로그인이 안되요 휴대폰인증하면 u+가입되지않다고 나와요	0
473	2019년 6월 20일	별표 5개 만점에 5개를 받았습니다.	IoT 사용하면 사용 할수록 너무 좋습니다. 많은 제품들이 연동되었으면 좋겠습니다.	1
1203	2020년 2월 20일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
1632	2017년 10월 9일	별표 5개 만점에 1개를 받았습니다.	황당하네요 업뎃후 설정되있던 전기세계산이랑 문닫힘 설정이 다사라졌어요 다시 설정하려면 어찌해야하나요	0
