6088	2013년 11월 4일	별표 5개 만점에 5개를 받았습니다.	버스커버스커 항상 잘 이용하고 있어요	1
5737	2014년 3월 18일	별표 5개 만점에 2개를 받았습니다.	포미닛이랑 같이앨범발매된 날짠데 왜 초아노래는없어요?ㅡㅡ이메일로 문의햇는데 읽씹하고 음원순위에도없고 검색해도없어요 올려주세요	0
2718	2015년 9월 29일	별표 5개 만점에 5개를 받았습니다.	찻는 곡 도 다 잇고 선택 할게 많아서 좋아여	1
3217	2015년 9월 13일	별표 5개 만점에 5개를 받았습니다.	좋아요굿	1
2795	2015년 9월 2일	별표 5개 만점에 4개를 받았습니다.	타 어플에비해 음질이 깨끗하고 좋습니다만, 미리듣기실행되는데까지 시간이 오래걸려서 좀 답답함을 느끼는 경우가 많습니다. 이 부분만 시정해주시면 동종 어플 중 따를데가 없을 것 같군요.	1
5125	2015년 3월 30일	별표 5개 만점에 5개를 받았습니다.	정말 좋아요	1
1278	2017년 4월 23일	별표 5개 만점에 1개를 받았습니다.	뮤지벨딩을 노래를 시켜는데 왜 중지 에요??	0
2326	2016년 8월 20일	별표 5개 만점에 5개를 받았습니다.	어플 최고에요!	1
4183	2014년 11월 3일	별표 5개 만점에 5개를 받았습니다.	저도 뮤직벨링을 한달에 2번 3번은 이용하는데요 노래도많고 필요한 기능도 많아서 좋아요 앞으로도 천만 이천만 돌파하길	1
6994	2015년 1월 8일	별표 5개 만점에 4개를 받았습니다.	추억에 노래들도 업뎃좀 해주세요	1
5261	2015년 1월 1일	별표 5개 만점에 5개를 받았습니다.	잘쓰고있습니당!♥감사합니당!♥♥♥완존좋아용최고!!!!♥♥♥♥	1
7502	2015년 11월 15일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
2283	2016년 10월 23일	별표 5개 만점에 2개를 받았습니다.	엑스페리아xz는 지원 안되나요?? 화면이 검해지면서 구동이 안되네요..	0
5896	2014년 2월 20일	별표 5개 만점에 5개를 받았습니다.	2.20 바이브 신곡 언제 나오나요	0
6725	2013년 1월 18일	별표 5개 만점에 5개를 받았습니다.	진짜 벨소리 mp3모두다 쓰기편리한 앱!	1
4746	2014년 11월 18일	별표 5개 만점에 5개를 받았습니다.	기푼전환 할때 뮤직벨링 간편해서좋아요.	1
4046	2014년 11월 8일	별표 5개 만점에 5개를 받았습니다.	자주 변경하며 사용하고 있어요~좋은 노래도 많이 올라오고 없는 노래도 없고 감사합니다~ 앱 대박 나세요!!	1
1143	2017년 9월 27일	별표 5개 만점에 3개를 받았습니다.	컬러링 설정할 때 들어보려고 재생버튼을 누르면 재생모드로 아이콘이 바뀌긴 하는데 잠깐 바뀌었다가 원래대로 돌아오고 노래는 재생이 안 돼요. 몇 번이고 다시 누르면 그제서야 재생이 되고요. 자주 이러는데 개선 좀 부탁드립니다.	0
7086	2012년 11월 6일	별표 5개 만점에 1개를 받았습니다.	무료라면서 머가무료입니까 다돈들어가네요 너무하시네요 ㅠㅠ 짜증나 ㅠ	0
2986	2015년 9월 4일	별표 5개 만점에 5개를 받았습니다.	나한텐 정말 둘도없는 친구같은존재 항상 벨소리와컬러링을손쉽게바꿔주네요	1
4322	2014년 11월 6일	별표 5개 만점에 5개를 받았습니다.	역시 뮤직벨링이 짱이네요..축하드려요	1
5589	2014년 10월 27일	별표 5개 만점에 1개를 받았습니다.	밥은 쳐 먹고 다니냐? 엘지 통신 쓴다 대부 이런거 벨소리 지원도 안되네 졸 비싸고	0
3607	2015년 6월 23일	별표 5개 만점에 5개를 받았습니다.	벨소리하기 더 쉬어졌어요	1
3804	2014년 11월 12일	별표 5개 만점에 4개를 받았습니다.	뮤직벨링 되게 좋은거같아요 쫌 아까운거같기도하지만 소액의 돈이니까 많이 부담스럽지도않고 다른곳보다 싼거같아서 좋아요!! 결제방법도 편리해서 좋아용~.~	1
2649	2015년 9월 30일	별표 5개 만점에 5개를 받았습니다.	벨소리랑 필링이랑 한번에 설정가능하니까 너무빠르고 좋아용 &gt;_&lt; 일년넘게 다달이 쓰고있는데 정말정말 굿이에요~ㅋㅋ	1
2957	2015년 9월 13일	별표 5개 만점에 5개를 받았습니다.	업데이트전에는 솔직히 버퍼링도심하고 업데이트속도도 기대치에못달앗는데 업데이트후 버퍼링도적어지고 신곡도 빨리올라와서 좋음 진짜 타사쓰면 뮤직벨링 쓰고싶어질것같음 전에쓰던건lg아니였는데 컬러링이랑벨소르 바꾸기 짜증나는게 한두가지가아니였응 근데 뮤직벨링은 진짜 어플이였음 다운받아서라도 쓰고싶을정도임	1
4381	2014년 12월 31일	별표 5개 만점에 4개를 받았습니다.	한마디루좋다좋아ㅎㅎ	1
3048	2015년 9월 12일	별표 5개 만점에 5개를 받았습니다.	벨소리 컬러링 설정하는것도빠르고 자주 애용하고잇어용~~	1
6652	2013년 3월 18일	별표 5개 만점에 5개를 받았습니다.	포지션 3집 mp3다운받았는데 음원 재생도 안돼고 어떻게됀건죠	0
7001	2013년 3월 8일	별표 5개 만점에 5개를 받았습니다.	안 쓰는데 이건 좋음 여기서 쓴 것만 만원정도 됐다ㅎㅎㅎ	1
625	2019년 4월 13일	별표 5개 만점에 1개를 받았습니다.	LG U+만 되는거 보소 참나😤	0
4680	2014년 11월 10일	별표 5개 만점에 5개를 받았습니다.	다운로드도 빠르고 월정액이라 달마다 최신곡도 다운받을수 있어서 좋은거 같아요	1
5565	2014년 8월 21일	별표 5개 만점에 1개를 받았습니다.	돈내야되서 노래다운못함. 월정액도 돈 많이 나올...	0
