date,text,label
2020년 2월 26일,한글이 많아서 보기좋네요 들어가서 초보자도 금방 터득가능한 통신사는 엘지가 최고지요,1
2020년 3월 27일,핸드폰 요금을 쉽게 알아볼수있어서 좋아요~!,1
2020년 1월 17일,사용편하고 좋아요. 고객선터 전화할일이 없음^^,1
2020년 3월 1일,쉽고 편하게 사용할 수 있군요,1
2020년 3월 23일,좋아요이쁘게디자인꾸며주세요,1
2020년 2월 8일,여러가지로 많은정보 얻을수있어 정말좋아요,1
2020년 2월 17일,위젯 1x1사이즈가 언제 2x2사이즈로 바꼈나요?,2
2020년 2월 27일,편리하고유용하다 좀더정확하게나오면좋겠다,1
2020년 1월 17일,좋기는한데따운할줄모름니다,2
2020년 2월 17일,아주 정리가 잘 되어 있네요.굿~!,1
2020년 2월 5일,쓰기 편리하고 좋아요,1
2020년 1월 17일,쓰기가 아주 편리해요,1
2020년 3월 1일,유용해요 그리고 더욱 많은 사람들이 함께 할것입니다,1
2020년 2월 27일,제 가입정보를 알 수 있어 매우 유용합니다.,1
2020년 3월 14일,편안하고 사용하기 좋습니다.,1
2020년 3월 4일,급하게 선물할수있고 다양하게준비되,1
2020년 2월 20일,네~^^너무좋아진엘지유플러스~감사합니다.,1
2020년 1월 29일,사용하기가좀더편하네요,1
2020년 2월 28일,뿌리에 근원을둔 LG 사랑해요...너무나도요.~^~^~,1
2020년 2월 12일,편리하고 좋아요,1
2020년 1월 22일,편리한기능이네요,1
2020년 3월 10일,최고예요감사합니다 계속발위하세요,1
2020년 2월 26일,좋아요 많이지원하니까신난요♥♥,1
2020년 2월 12일,아주편리해요,1
2020년 2월 28일,쉽게 확인 돼네요.,1
2020년 3월 27일,감사희 잘 사요 하고 있습니다.,1
2020년 2월 14일,자세한 설명도있고 좋네요.편합니다.,1
2020년 3월 17일,써비스받고자문의드립니다열락주세요,2
2020년 1월 14일,이용한도 어떻게 높이나요?,2
2020년 1월 15일,ㅎㅎㅎ ㅈㅇㅇ 넘 어려워요,1
2020년 3월 2일,친절한 설명과 답변에 감사드립니다 ^^,1
2020년 2월 12일,친절하게 설명을 해주셨어요,1
2020년 3월 22일,정규방송은어떤사이트에서볼수있나요?,2
2020년 3월 28일,아저씨엄청재미있어요,1
2020년 3월 5일,편하고좋아요,1
2020년 2월 28일,너무편하고좋아요,1
2020년 1월 29일,좋아요 엘지만 15년째 쓰고있습니다,1
2020년 3월 8일,재미있는 것같아 요,1
2020년 1월 9일,아주잘사용하고있습니다 감사하니다♥♥♥♥♥,1
2020년 3월 9일,밥 먹고 와서 사서 갈게요,2
2020년 3월 7일,좋아 아주좋아,1
2020년 2월 1일,편리해요,1
2020년 1월 10일,재밋어요!! 대박!!,1
2020년 3월 17일,그냥그래요,1
2020년 1월 1일,좋아요~^^👌,1
2020년 2월 27일,엘지사용자라면 굿!,1
2020년 2월 8일,아직 못해봤어요,2
2020년 3월 21일,이 같은ㅣ ㅣ,2
2020년 1월 4일,좋아요요,1
2020년 3월 29일,ㅇㅇ 좋아요,1
2020년 1월 19일,호프사줘오늘,2
2020년 3월 20일,수고들하세요,1
2020년 3월 3일,좋아🐰ㅎㅎㅎㅎㅎㅊ,1
2020년 3월 5일,원조경,2
2020년 3월 2일,감사합니다,1
2020년 3월 2일,좋와요~~,1
2020년 3월 31일,조정호,2
2020년 3월 28일,감사합니다.,1
2020년 3월 3일,👌,1
2020년 3월 31일,필요없음,2
2020년 3월 23일,굿,1
2020년 3월 15일,좋아요,1
2020년 3월 21일,굿,1
2020년 3월 8일,굿,1
2020년 3월 12일,최소,2
2020년 3월 4일,좋아요,1
2020년 3월 6일,좋아요,1
2020년 3월 27일,빠르다,1
2020년 3월 6일,좋아요,1
2020년 3월 14일,좋아요,1
2020년 2월 13일,노트9인데요 위젯이 너무 커요.... 원래 이렇지 않았는데 왜이렇게 커졌나요?,1
2020년 1월 22일,그ㅡ양뭐,2
2020년 1월 20일,안켜지냐 ㅡㅡ,2
2020년 1월 28일,기시시시시ㅣ싯,2
2020년 2월 27일,ㅎㅎㅎ호ㅗ,2
2020년 2월 19일,전혀 모르겠음,2
2020년 2월 6일,이테선,2
2020년 2월 27일,어렵음,1
2020년 2월 19일,잘 모르겠슴,1
2020년 1월 25일,Ok,1
2020년 1월 23일,좋군,1
2020년 3월 22일,Jindeming,2
2020년 2월 27일,편해요,1
2020년 2월 21일,Goog,1
2020년 1월 22일,모름,2
2020년 1월 23일,좋다 좋아,1
2020년 1월 30일,편리합니다,1
2020년 2월 11일,최고,1
2020년 2월 8일,좋아요 ♡,1
2020년 2월 15일,좋아요.,1
2020년 2월 18일,좋아요,1
2020년 1월 21일,굿,1
2020년 2월 26일,굿,1
2020년 2월 19일,굿,1
2020년 1월 8일,제품 불충분,1
2020년 1월 17일,Good,1
2020년 1월 15일,짱,1
2020년 1월 5일,사용 만족,1
2020년 1월 18일,매우좋습니다,1
2020년 1월 10일,조아요..,1
2020년 1월 1일,좋아요,1
2020년 1월 29일,좋아요,1
2020년 1월 5일,좋아요,1
2020년 1월 10일,굿,1
2020년 1월 6일,굿,1
2020년 1월 4일,좋아요,1
2020년 2월 13일,좋아요,1
2020년 1월 3일,굿,1
2020년 3월 20일,그냥 좋아서,1
2020년 2월 6일,조아요,1
2020년 3월 24일,너무좋죠~,1
2020년 1월 6일,좋아요,1
2020년 2월 7일,굿,1
2020년 2월 12일,바둑,2
2020년 2월 23일,굿,1
2020년 2월 6일,안되요,1
2020년 1월 25일,너무좋다,1
2020년 1월 10일,굿굿굿,1
2020년 2월 25일,좋음,1
2020년 2월 3일,좋아요,1
2020년 2월 22일,최고,1
2020년 3월 26일,좋아요,1
2020년 3월 30일,최고,1
2020년 3월 24일,좋아,1
2020년 2월 27일,굳,1
2020년 1월 1일,Good,1
2020년 1월 3일,매우좋음,1
2020년 1월 3일,"위젯에 대한 건의가 있어요!! 요즘 요금제가 음성 및 문자가 무제한이고 나눠쓰기 데이터가 따로있는경우가 많은데요 위젯은 아직 시대를 못따라가는것이 아쉽네요 표시수치가 기존의 데이터,음성,영상이 있다면 본인데이터,나눠쓰기데이터,영상으로도 추가 해 주셨으면 합니다. 음성은 항상 차 있으니 보나마나고, 데이터는 본인꺼와 나눠쓰기가 합산되 표시하니 불편하네요",0
2020년 3월 25일,"저도 오류코드 2007 뜨네요.. 폰은 갤럭시s10+ 이고, 소프트웨어 최신버전 업데이트 다 했는데 (2.12에 최신으로 업뎃했다고 뜨네요) 빌드번호는 답변들과 전혀 다르게 TA4로 끝납니다. 뭘 어떻게 해야 하나요. 그리고 이걸 플레이스토어 앱리뷰에 들어와서 물어봐야 하는 것도 좀... 문제 겪는 게 저뿐이 아니고 삼성 안드로이드 공통 문제면 이용자들에게 공지가 있어야 하는 것 아닌가요?",0
2020년 3월 2일,"왜 점점 어플이 안좋아지는거죠? 안드로이드 업데이트 이후 유심 인식 안되는 것 부터 어서 해결해주세요. 위젯도 왜이렇게 커졌으며, 그 커진 위젯들 조차 눌러도 새로고침이 되지 않네요. 이럴거면 어플 업데이트는 왜하시는 건가요... 일단 유심인식부터 빨리 해결해 주셨음 해요.. 오류코드 2007입니다. 빌드번호가 ~TA2 로 뜨는데 이경우에는 어떻게 해야할까요? 알려주신 방법대로는 해결이 안됐습니다..",0
2020년 3월 1일,"안드로이드 업데이트 이후 전원문제가 계속 발생한다. 리부팅도 강제로 하지 않으면 전원이 들어오지 않는다.....약정도 끝났고, 티비 인터넷 약정만 끝나면 다시 케이티로 갈아타야할것같다. 엘지가 왜 꼴지인지 여러모로 검증의 시간은 거친것 같다.",0
