date,text,label
2018년 11월 12일,유용하게 ㅡ활묭할수있는엡다양한프로그램 혹시나. 요금추가될까 ㅡ망설여집니당 ~~~^~^,1
2018년 12월 26일,결합상품을사용하니 편리하게 미디어 장치를 활용한다는 생각이 듭니다.,1
2018년 10월 20일,항상 내옆에서 날 지켜 주는고마운 친구같은 존재가 되고 생활에서 편리하게 잘 이용하며 즐거운 나의 희노애락을 함께합니다.,1
2018년 10월 27일,내용의 짜임새가 좋으며 사용하기.편리함,1
2018년 11월 21일,정말 최고의 앱이에요!!! 통신사를 옮기고 싶을 정도입니다😉😉,1
2018년 11월 15일,실시간으로 사용량조회되고 좋아요.,1
2018년 10월 19일,데이터등 각종확인이 쉬워 사용하기 좋아요~,1
2018년 12월 30일,좋아요. 유플관련 기능을 하나의 앱으로 통합되었으면 합니다,1
2018년 12월 28일,핸드폰요금바로확인가능해서좋네요,1
2018년 12월 12일,보다좋은고객의불편함없이.최고보다.최선을다하여.LG고객이될수있도록해주세요.감사합니다.,1
2018년 12월 27일,U+ 많이 많이 이용하고 있어요☆☆ 새해 복 많이 많이 받으세요☆☆,1
2018년 10월 17일,빠르고 편리 합니다,1
2018년 10월 4일,다양한 앱으로 더욱 생활이 편리해졌습니다,1
2018년 10월 6일,너무쉽고 편해요 ㅠㅠ,1
2018년 10월 14일,넘쉽게앱을볼수있어좋아요,1
2018년 12월 14일,아 완전 너무 좋았어요 역시 짱짱 좋아요 너무 좋아요 너무 좋아요 너무 좋아요,1
2018년 12월 31일,앱이 편리하고 실용적이다 화이팅 사랑해요~ 사랑해요 ~ LG,1
2018년 12월 2일,전여주만족감을주고친절하고해서,1
2018년 12월 12일,고객센터 앱중에 사용편의성 아주 좋아요,1
2018년 11월 5일,필요한 것만 씀 요금제 잔량,1
2018년 11월 23일,편하게 사용할 수 있고 좋아요~,1
2018년 12월 27일,빠르고 정확한 정보를 제공합니다,1
2018년 11월 20일,편리해서 참 좋은 것 같아요❤❤❤,1
2018년 12월 31일,다들 분노조절장애있으세요? 업데이트하러왔다가 이건뭐,2
2018년 11월 26일,써보고 다시평가할께유,2
2018년 10월 23일,진즉 알았으면 좋았을걸~~,1
2018년 12월 1일,지금개통해서 아직 사용 전입니다.,2
2018년 10월 11일,특별한건 없습니다 그리고,2
2018년 12월 30일,아주 편한 앱이예요~^^,1
2018년 10월 1일,한눈에. 확인 할수있어서 너무좋아요,1
2018년 10월 18일,가족결합 좋아요,1
2018년 12월 17일,포인트는어떻게사용해야하는지~,2
2018년 10월 6일,편리하게 사용하고 있습니다,1
2018년 12월 13일,항상 감사합니다,1
2018년 10월 23일,간편했으면해요,1
2018년 12월 7일,좋은저녁시간 되세요~^^,1
2018년 10월 31일,핵킹이 되지 않도록 만전의 준비 요망,2
2018년 12월 1일,항상최선을다합시다,1
2018년 12월 28일,너무 편리해요,1
2018년 10월 16일,행복한세상을 보여요,1
2018년 12월 28일,좋네요 매우 아주 엄청나게 놀라운,1
2018년 12월 7일,상담도 안내도 넘! 좋아요 감사함,1
2018년 10월 12일,잘 쓰고 있어요~,1
2018년 12월 30일,잘되고있어요,1
2018년 11월 7일,전체적으로 좋아요,1
2018년 11월 14일,상세한 내용고맙습니다.,1
2018년 12월 31일,유플러스 좋아요,1
2018년 12월 31일,넘좋아요~^^,1
2018년 10월 26일,수고하셨어요,1
2018년 10월 25일,평가앱최고,1
2018년 12월 23일,잘 사용하고 있습니다 감사합니다,1
2018년 12월 1일,아주아주 좋다,1
2018년 10월 16일,좋은것 같아요,1
2018년 10월 1일,도움되네요,1
2018년 10월 29일,"네, 좋아요",1
2018년 12월 31일,딱!!!맘에 듦^^,1
2018년 10월 11일,좋아요 ^^,1
2018년 12월 30일,최고네요,1
2018년 12월 4일,좋은 정보 감사합니다,1
2018년 10월 10일,좋은정보 감사합니다,1
2018년 11월 16일,카카오 좋아 서민자본흡수,2
2018년 10월 26일,비밀번호짱,1
2018년 12월 31일,좋다고요,1
2018년 12월 28일,역쉬 u플러스,1
2018년 12월 26일,굿굿굿굿,1
2018년 12월 29일,내게는 아주 편리합니다,1
2018년 12월 28일,LG good♥,1
2018년 12월 31일,ok,1
2018년 12월 27일,훌륭합니다.,1
2018년 12월 29일,매우 좋다,1
2018년 12월 26일,좋아요,1
2018년 12월 30일,좋아요,1
2018년 12월 30일,좋아요,1
2018년 12월 29일,좋아요,1
2018년 12월 29일,굿,1
2018년 12월 31일,좋네요,1
2018년 12월 29일,좋아요,1
2018년 12월 29일,좋아요,1
2018년 12월 28일,굿,1
2018년 12월 28일,좋아요,1
2018년 12월 9일,日本式韓文羅癩縣OMiC몽고,2
2018년 11월 1일,데이터많이많이주세요LG+U,2
2018년 10월 7일,Very nice!,1
2018년 12월 28일,세스온더비치,2
2018년 12월 31일,좋와요,1
2018년 10월 3일,Good,1
2018년 11월 14일,간단하게 하시죠,1
2018년 10월 2일,만족 합니다,1
2018년 10월 1일,감사합니다,1
2018년 12월 30일,만족함,1
2018년 12월 27일,fffffg,2
2018년 11월 24일,good,1
2018년 12월 28일,논들,2
2018년 11월 16일,Good,1
2018년 12월 30일,사용해보면 알 수 있죠...,1
2018년 12월 28일,감사합니다.,1
2018년 12월 28일,간편하네요,1
2018년 12월 28일,굳,1
2018년 10월 14일,감사합니다♥♥,1
2018년 10월 26일,좋아요,1
2018년 10월 6일,좋아요,1
2018년 10월 1일,굿,1
2018년 10월 2일,굿,1
2018년 10월 8일,좋아요,1
2018년 11월 3일,좋아요~♥,1
2018년 11월 28일,좋아요,1
2018년 10월 12일,좋아요,1
2018년 11월 1일,좋아요,1
2018년 12월 28일,좋아,1
2018년 10월 27일,굿,1
2018년 12월 29일,최고,1
2018년 11월 30일,좋음,1
2018년 11월 5일,좋아요,1
2018년 11월 4일,굿,1
2018년 10월 8일,굿,1
2018년 11월 28일,좋음,1
2018년 10월 16일,좋습니다,1
2018년 10월 15일,굿,1
2018년 11월 14일,좋아요,1
2018년 12월 30일,굿,1
2018년 12월 28일,화팅,1
2018년 11월 9일,굿,1
2018년 12월 21일,굿,1
2018년 12월 12일,좋음,1
2018년 11월 15일,좋아요,1
2018년 12월 29일,굿,1
2018년 12월 28일,굿,1
2018년 10월 16일,좋아요,1
2018년 10월 22일,좋아요,1
2018년 12월 14일,좋아요,1
2018년 10월 1일,좋아요,1
2018년 10월 22일,좋아요,1
2018년 12월 30일,좋아요,1
2018년 10월 1일,좋아요,1
2018년 10월 30일,좋음,1
2018년 12월 17일,좋아요,1
2018년 11월 8일,좋아요,1
2018년 12월 29일,좋아요,1
2018년 11월 15일,고마워요,1
2018년 10월 18일,굿,1
2018년 10월 23일,좋아요,1
2018년 10월 29일,괜찮아요♥♥,1
2018년 12월 22일,굿~,1
2018년 11월 16일,따봉입니다,1
2018년 12월 24일,감사,1
2018년 11월 11일,굿,1
2018년 12월 28일,베리긋,1
2018년 12월 28일,Good,1
2018년 12월 12일,간편한 사용,1
2018년 10월 3일,굿,1
2018년 12월 29일,좋아요,1
2018년 12월 28일,좋아요,1
2018년 10월 27일,굿굿,1
2018년 12월 22일,굿,1
2018년 10월 23일,좋아요.,1
2018년 10월 4일,굿,1
2018년 11월 9일,...,2
2018년 12월 20일,즐겁게 보내세요,1
2018년 10월 21일,감사,1
2018년 10월 27일,굿,1
2018년 11월 28일,좋아요,1
2018년 10월 16일,굿,1
2018년 11월 22일,GOOD APPS,1
2018년 11월 18일,잘몰르겠어요.,2
2018년 10월 18일,고맙습니다,1
2018년 11월 11일,"어플을 쓰면서 느끼는건데 데이터와 통화,문자를 실시간으로 확인할 수 있겠끔 상단바에 고정시켜둘 수 있는 기능이 생겼으면 좋겠다.인데요. 그렇게하면 굳이 실시간으로 볼 수 있는 다른 어플을 깔지 않아도 되는 번거로움과 배터리 절약에 조금이나마 도움이 될 수 있으리라 생각이 되는거든요. 타 통신사에 보시면 그 어플 자체안에다가 그런 기능을 탑재해놔서 고객분들이 조금 더 편리하게 사용할 수 있고 눈이 자주가게 됨으로써 어플에게도 손길이 닿을 수 있겠끔 다양한 서비스,친절한 설명과 대응 등 여러가지로도 비교가 참 되는데요.. 과연,변화는 가능한 것일까요? lg??",0
